"feature","view"
"Acidaminococcus","Bacteria"
"Actinomyces","Bacteria"
"Adlercreutzia","Bacteria"
"Agathobacter","Bacteria"
"Akkermansia","Bacteria"
"Alistipes","Bacteria"
"Allisonella","Bacteria"
"Alloprevotella","Bacteria"
"Anaerofilum","Bacteria"
"Anaerofustis","Bacteria"
"Anaeroplasma","Bacteria"
"Anaerostipes","Bacteria"
"Anaerotruncus","Bacteria"
"Atopobium","Bacteria"
"Bacteroides","Bacteria"
"Barnesiella","Bacteria"
"Barnesiellaceae","Bacteria"
"Bifidobacteriaceae","Bacteria"
"Bifidobacterium","Bacteria"
"Bilophila","Bacteria"
"Blautia","Bacteria"
"Butyricicoccus","Bacteria"
"Butyricimonas","Bacteria"
"Butyrivibrio","Bacteria"
"CAG-352","Bacteria"
"CAG-56","Bacteria"
"CAG-873","Bacteria"
"Candidatus_Soleaferrea","Bacteria"
"Caproiciproducens","Bacteria"
"Catenibacterium","Bacteria"
"Christensenella","Bacteria"
"Christensenellaceae","Bacteria"
"Christensenellaceae_R-7_group","Bacteria"
"Citrobacter","Bacteria"
"Cloacibacillus","Bacteria"
"Clostridiales_vadinBB60_group","Bacteria"
"Clostridium_sensu_stricto_1","Bacteria"
"Collinsella","Bacteria"
"Comamonas","Bacteria"
"Coprobacillus","Bacteria"
"Coprobacter","Bacteria"
"Coprococcus","Bacteria"
"Coriobacteriaceae_UCG-003","Bacteria"
"Coriobacteriales_Incertae_Sedis","Bacteria"
"Cronobacter","Bacteria"
"Defluviitaleaceae_UCG-011","Bacteria"
"Desulfovibrio","Bacteria"
"Desulfovibrionaceae","Bacteria"
"Dialister","Bacteria"
"Dielma","Bacteria"
"Dorea","Bacteria"
"DTU089","Bacteria"
"Eggerthella","Bacteria"
"Eggerthellaceae","Bacteria"
"Eisenbergiella","Bacteria"
"Enorma","Bacteria"
"Enterobacter","Bacteria"
"Enterobacteriaceae","Bacteria"
"Enterococcaceae","Bacteria"
"Enterococcus","Bacteria"
"Enterorhabdus","Bacteria"
"Epulopiscium","Bacteria"
"Erysipelatoclostridium","Bacteria"
"Erysipelotrichaceae","Bacteria"
"Erysipelotrichaceae_UCG-003","Bacteria"
"Escherichia/Shigella","Bacteria"
"Eubacterium","Bacteria"
"Faecalibacterium","Bacteria"
"Faecalicoccus","Bacteria"
"Faecalitalea","Bacteria"
"Family_XIII","Bacteria"
"Family_XIII_AD3011_group","Bacteria"
"Family_XIII_UCG-001","Bacteria"
"Finegoldia","Bacteria"
"Flavonifractor","Bacteria"
"Fournierella","Bacteria"
"Fusicatenibacter","Bacteria"
"GCA-900066225","Bacteria"
"GCA-900066575","Bacteria"
"GCA-900066755","Bacteria"
"Gemella","Bacteria"
"Gordonibacter","Bacteria"
"Granulicatella","Bacteria"
"Haemophilus","Bacteria"
"Hafnia-Obesumbacterium","Bacteria"
"Holdemanella","Bacteria"
"Holdemania","Bacteria"
"Howardella","Bacteria"
"Hungatella","Bacteria"
"Intestinibacter","Bacteria"
"Intestinimonas","Bacteria"
"Klebsiella","Bacteria"
"Lachnoclostridium","Bacteria"
"Lachnospira","Bacteria"
"Lachnospiraceae","Bacteria"
"Lachnospiraceae_NC2004_group","Bacteria"
"Lachnospiraceae_UCG-003","Bacteria"
"Lactobacillus","Bacteria"
"Lactococcus","Bacteria"
"Lactonifactor","Bacteria"
"Leuconostoc","Bacteria"
"Libanicoccus","Bacteria"
"Marvinbryantia","Bacteria"
"Megamonas","Bacteria"
"Megasphaera","Bacteria"
"Melissococcus","Bacteria"
"Merdibacter","Bacteria"
"Methanobrevibacter","Bacteria"
"Mitsuokella","Bacteria"
"Muribaculaceae","Bacteria"
"Negativibacillus","Bacteria"
"Odoribacter","Bacteria"
"Olsenella","Bacteria"
"Oribacterium","Bacteria"
"Oscillibacter","Bacteria"
"Oscillospira","Bacteria"
"Oxalobacter","Bacteria"
"Parabacteroides","Bacteria"
"Paraprevotella","Bacteria"
"Parasutterella","Bacteria"
"Parvimonas","Bacteria"
"Pediococcus","Bacteria"
"Peptoclostridium","Bacteria"
"Peptococcus","Bacteria"
"Peptostreptococcus","Bacteria"
"Phascolarctobacterium","Bacteria"
"Phocaeicola","Bacteria"
"Phocea","Bacteria"
"Porphyromonas","Bacteria"
"Prevotella_2","Bacteria"
"Prevotella_7","Bacteria"
"Prevotella_9","Bacteria"
"Prevotellaceae_NK3B31_group","Bacteria"
"Pseudomonas","Bacteria"
"Pygmaiobacter","Bacteria"
"Pyramidobacter","Bacteria"
"Raoultella","Bacteria"
"Raoultibacter","Bacteria"
"Rikenella","Bacteria"
"Rikenellaceae_RC9_gut_group","Bacteria"
"Robinsoniella","Bacteria"
"Romboutsia","Bacteria"
"Roseburia","Bacteria"
"Rothia","Bacteria"
"Ruminiclostridium","Bacteria"
